Categoria,Nome do Produto,Voltagem,Preço Principal,Preço à Vista,Qtd. Parcelas,Valor Parcela,URL da Imagem
Cassete,Instalação de Ar-Condicionado Cassete 7.000 a 19.000 BTUs,Cassete,"R$ 1.999,00","ou R$ 1.899,05 à vista",8x,"R$ 249,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/instala-o-de-ar-condicionado-cassete-7-000-a-19-000-btus.webp
Cassete,Instalação de Ar-Condicionado Cassete 7.000 a 19.000 BTUs,Cassete,"R$ R$ 1.999,00 à prazo","ou R$ 1.899,05 à vista",8x,"R$ 249,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/instala-o-de-ar-condicionado-cassete-7-000-a-19-000-btus.webp
Cassete,Instalação de Ar-Condicionado Cassete 20.000 a 30.000 BTUs,Cassete,"R$ 2.199,00","ou R$ 2.089,05 à vista",8x,"R$ 274,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/instala-o-de-ar-condicionado-cassete-20-000-a-30-000-btus.webp
Cassete,Instalação de Ar-Condicionado Cassete 20.000 a 30.000 BTUs,Cassete,"R$ R$ 2.199,00 à prazo","ou R$ 2.089,05 à vista",8x,"R$ 274,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/instala-o-de-ar-condicionado-cassete-20-000-a-30-000-btus.webp
Cassete,Instalação de Ar-Condicionado Cassete 31.000 a 40.000 BTUs,Cassete,"R$ 2.599,00","ou R$ 2.469,05 à vista",8x,"R$ 324,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/instala-o-de-ar-condicionado-cassete-31-000-a-40-000-btus.webp
Cassete,Instalação de Ar-Condicionado Cassete 31.000 a 40.000 BTUs,Cassete,"R$ R$ 2.599,00 à prazo","ou R$ 2.469,05 à vista",8x,"R$ 324,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/instala-o-de-ar-condicionado-cassete-31-000-a-40-000-btus.webp
Cassete,Instalação de Ar-Condicionado Cassete 41.000 a 60.000 BTUs,Cassete,"R$ 3.200,00","ou R$ 3.040,00 à vista",8x,"R$ 400,00 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/instala-o-de-ar-condicionado-cassete-41-000-a-60-000-btus.webp
Cassete,Instalação de Ar-Condicionado Cassete 41.000 a 60.000 BTUs,Cassete,"R$ R$ 3.200,00 à prazo","ou R$ 3.040,00 à vista",8x,"R$ 400,00 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/instala-o-de-ar-condicionado-cassete-41-000-a-60-000-btus.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Daikin SkyAir 41.000 BTUs Quente/Frio 220V Monofásico,220  V,"R$ 19.789,00","ou R$ 18.799,55 à vista",8x,"R$ 2.473,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-daikin-skyair-41-000-btus-quente-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Daikin SkyAir 41.000 BTUs Quente/Frio 220V Monofásico,41000 BTUs,"R$ R$ 19.789,00 à prazo","ou R$ 18.799,55 à vista",8x,"R$ 2.473,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-daikin-skyair-41-000-btus-quente-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Philco PAC24000ICQFM9 24.000 BTUs Quente/Frio 220V Bifásico,,"R$ 7.449,00","ou R$ 7.076,55 à vista",8x,"R$ 931,13 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-philco-pac24000icqfm9-24-000-btus-quente-frio-220v-bif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Inverter Philco PAC24000ICQFM9 24.000 BTUs Quente/Frio 220V Bifásico,24000 BTUs,"R$ R$ 7.449,00 à prazo","ou R$ 7.076,55 à vista",8x,"R$ 931,13 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-inverter-philco-pac24000icqfm9-24-000-btus-quente-frio-220v-bif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Hitachi Air Core 48.000 BTUs Só Frio 220V Trifásico,,"R$ 12.399,00","ou R$ 11.779,05 à vista",8x,"R$ 1.549,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-48-000-btus-s-frio-220v-trif-sico.webp
